image,plate_index,candidate_rank,selected,estimated_type,plate_type,plate_subtype,target_len,text_len,length_ok,text,lpr_score,beam_score
fenqusai/test_photo/000000109.jpg,0,0,True,green,green,,8,8,True,鄂H02143D,1.0,0.0
fenqusai/test_photo/000000109.jpg,0,1,False,green,green,tractor_green,8,8,True,鄂H02143D,1.0,0.0
fenqusai/test_photo/000000109.jpg,0,2,False,green,blue,,7,7,True,鄂H02143,0.07045523201273347,-47.75
fenqusai/test_photo/000000109.jpg,0,3,False,green,yellow,,7,7,True,鄂H02143,0.07045523201273347,-47.75
fenqusai/test_photo/000000109.jpg,0,4,False,green,black,,7,7,True,鄂H02143,0.07045523201273347,-47.75
fenqusai/test_photo/000000110.jpg,0,0,False,green,green,,8,8,True,闽K40096F,0.7830122408417108,-4.402925097383559
fenqusai/test_photo/000000110.jpg,0,1,False,green,green,tractor_green,8,8,True,闽K40096F,0.7830122408417108,-4.402925097383559
fenqusai/test_photo/000000110.jpg,0,2,False,green,blue,,7,7,True,闽K40096,0.0018169805899852542,-113.59042509738356
fenqusai/test_photo/000000110.jpg,0,3,False,green,yellow,,7,7,True,闽K40096,0.0018169805899852542,-113.59042509738356
fenqusai/test_photo/000000110.jpg,0,4,True,green,black,,7,7,True,R40096F,0.9543829362132976,-0.8404251737520099
fenqusai/test_photo/000000125.jpg,0,0,True,green,green,,8,8,True,皖E98075D,0.9991042356388282,-0.016130984360643197
fenqusai/test_photo/000000125.jpg,0,1,False,green,green,tractor_green,8,8,True,皖E98075D,0.9991042356388282,-0.016130984360643197
fenqusai/test_photo/000000125.jpg,0,2,False,green,blue,,7,7,True,皖E98075,0.10864754524198769,-39.95363098436064
fenqusai/test_photo/000000125.jpg,0,3,False,green,yellow,,7,7,True,皖E98075,0.10864754524198769,-39.95363098436064
fenqusai/test_photo/000000125.jpg,0,4,False,green,black,,7,7,True,皖E98075,0.10864754524198769,-39.95363098436064
fenqusai/test_photo/000000126.jpg,0,0,True,green,green,,8,7,False,皖NFS061,0.9892637047254634,-0.19429821288611038
fenqusai/test_photo/000000126.jpg,0,1,False,green,green,tractor_green,8,7,False,皖NFS061,0.9892637047254634,-0.19429821288611038
fenqusai/test_photo/000000126.jpg,0,2,False,green,blue,,7,7,True,皖NFS061,0.9892637047254634,-0.19429821288611038
fenqusai/test_photo/000000126.jpg,0,3,False,green,yellow,,7,7,True,皖NFS061,0.9892637047254634,-0.19429821288611038
fenqusai/test_photo/000000126.jpg,0,4,False,green,black,,7,7,True,皖NFS061,0.9892637047254634,-0.19429821288611038
fenqusai/test_photo/000000200.jpg,0,0,False,blue,blue,,7,7,True,川ATFNU0,0.5927151573204221,-9.414744069101275
