image,plate_index,detection_index,gt_text,match,det_score,estimated_type,decoded_type,plate_subtype,plate_type,plate_text,valid,invalid_reason,raw_text,lpr_score,beam_score,crop_path,crop_width,crop_height,x1,y1,x2,y2
fenqusai/test_photo/000000109.jpg,0,0,,,0.723665714263916,green,green,,green,鄂H02143D,True,,鄂H02143D,1.0,0.0,fenqusai/tools/pipeline/result_p15_fp/crops/000000109_plate0.jpg,124,39,5,11,113,40
fenqusai/test_photo/000000110.jpg,0,0,,,0.5963878631591797,green,green,,green,晋R40096F,True,,晋R40096F,1.0,0.0,fenqusai/tools/pipeline/result_p15_fp/crops/000000110_plate0.jpg,128,44,18,9,124,40
fenqusai/test_photo/000000125.jpg,0,0,,,0.26182880997657776,green,green,,green,皖E98075D,True,,皖E98075D,0.9942821509831868,-0.10321665294031845,fenqusai/tools/pipeline/result_p15_fp/crops/000000125_plate0.jpg,128,47,12,5,127,41
fenqusai/test_photo/000000126.jpg,0,0,,,0.6763911247253418,green,blue,,blue,桂NFS061,True,,桂NFS061,0.9999999867545251,-2.3841855067985307e-07,fenqusai/tools/pipeline/result_p15_fp/crops/000000126_plate0.jpg,112,45,4,7,102,40
fenqusai/test_photo/000000200.jpg,0,0,,,0.7054831981658936,blue,blue,,blue,黑ATFNU0,True,,黑ATFNU0,0.9997978764539064,-0.003638591564588012,fenqusai/tools/pipeline/result_p15_fp/crops/000000200_plate0.jpg,125,48,25,6,117,43
fenqusai/test_photo/000000206.jpg,0,0,,,0.4072892665863037,yellow,yellow,,yellow,晋ME8U5R,True,,晋ME8U5R,1.0,0.0,fenqusai/tools/pipeline/result_p15_fp/crops/000000206_plate0.jpg,128,44,14,8,124,41
fenqusai/test_photo/0302734375-95_254-229&410_508&519-508&519_241&483_229&410_498&439-0_0_5_24_31_24_24_24-105-51.jpg,0,0,皖AF07000,False,0.89874267578125,green,green,,green,甘NAED700,True,,甘AED700,0.8612189147229466,-2.689317909280362,fenqusai/tools/pipeline/result_p15_fp/crops/0302734375-95_254-229&410_508&519-508&519_241&483_229&410_498&439-0_0_5_24_31_24_24_24-105-51_plate0.jpg,377,149,227,410,506,521
fenqusai/test_photo/0348046875-94_241-216&458_513&576-513&576_249&537_216&458_480&480-0_0_5_24_31_24_30_32-69-40.jpg,0,0,皖AF07068,False,0.8878707885742188,green,blue,,blue,浙M470NP,True,,浙M470NP,0.8651758336581928,-2.606805302446439,fenqusai/tools/pipeline/result_p15_fp/crops/0348046875-94_241-216&458_513&576-513&576_249&537_216&458_480&480-0_0_5_24_31_24_30_32-69-40_plate0.jpg,406,156,213,457,514,573
fenqusai/test_photo/034921875-97_247-191&443_489&561-489&561_209&516_191&443_477&482-0_0_3_24_30_28_33_32-65-188.jpg,0,0,皖AD06498,,0.9023666381835938,green,special_7,,special_7,琼8领领898,False,hallucinated_province,C领领898,0.0,-11.714701576336097,fenqusai/tools/pipeline/result_p15_fp/crops/034921875-97_247-191&443_489&561-489&561_209&516_191&443_477&482-0_0_3_24_30_28_33_32-65-188_plate0.jpg,405,166,190,443,488,567
fenqusai/test_photo/03671875-106_247-213&385_448&542-448&542_221&459_213&385_443&457-0_0_3_26_30_30_26_33-107-61.jpg,0,0,皖AD26629,False,0.8951187133789062,green,green,,green,苏AD28884,True,,苏AD28884,0.9325565960403417,-1.2568578570223963,fenqusai/tools/pipeline/result_p15_fp/crops/03671875-106_247-213&385_448&542-448&542_221&459_213&385_443&457-0_0_3_26_30_30_26_33-107-61_plate0.jpg,329,206,208,385,450,539
fenqusai/test_photo/0369140625-81_260-299&432_569&570-559&507_299&570_300&482_569&432-0_0_3_25_24_24_24_26-93-44.jpg,0,0,皖AD10002,False,0.9023666381835938,green,blue,,blue,湘AD1DQ4,True,,湘AD1DQ4,0.9915508367622968,-0.15273107563427857,fenqusai/tools/pipeline/result_p15_fp/crops/0369140625-81_260-299&432_569&570-559&507_299&570_300&482_569&432-0_0_3_25_24_24_24_26-93-44_plate0.jpg,366,185,294,434,564,572
fenqusai/test_photo/046015625-97_243-180&408_522&543-522&543_208&495_180&408_501&451-0_0_3_24_30_30_33_25-61-79.jpg,0,0,皖AD06691,,0.8733749389648438,green,green,,green,新Z3N,False,invalid_length_or_empty,新领领3N,0.0,-14.127955736649085,fenqusai/tools/pipeline/result_p15_fp/crops/046015625-97_243-180&408_522&543-522&543_208&495_180&408_501&451-0_0_3_24_30_30_33_25-61-79_plate0.jpg,466,181,178,412,523,547
fenqusai/test_photo/049921875-80_275-250&410_534&587-534&506_259&587_250&469_530&410-0_0_3_17_25_25_30_25-128-23.jpg,0,0,皖ADT1161,False,0.89874267578125,green,blue,,blue,苏DT1A8V,True,,苏DT1A8V,0.92714289017569,-1.3616564887922777,fenqusai/tools/pipeline/result_p15_fp/crops/049921875-80_275-250&410_534&587-534&506_259&587_250&469_530&410-0_0_3_17_25_25_30_25-128-23_plate0.jpg,380,247,255,406,535,591
fenqusai/test_photo/1006.jpg,0,0,,,0.8806228637695312,blue,blue,,blue,冀DYQ565,True,,冀DYQ565,0.9970723617213162,-0.05277477949857001,fenqusai/tools/pipeline/result_p15_fp/crops/1006_plate0.jpg,135,80,140,291,239,351
fenqusai/test_photo/14.jpg,0,0,,,0.8149032592773438,blue,blue,,blue,琼C4298S,True,,琼C4298S,0.9727086769568574,-0.4980716758872177,fenqusai/tools/pipeline/result_p15_fp/crops/14_plate0.jpg,64,34,463,238,509,262
fenqusai/test_photo/18.jpg,0,0,,,0.9018548130989075,blue,blue,,blue,浙U6E55S,True,,浙U6E55S,0.8817236593072985,-2.2657785031908446,fenqusai/tools/pipeline/result_p15_fp/crops/18_plate0.jpg,257,138,272,566,462,681
fenqusai/test_photo/195.jpg,0,0,,,0.9091278314590454,green,green,,green,甘A4D8D0H,True,,甘挂34D闽D0HQ,0.10502236216667864,-40.56447561271488,fenqusai/tools/pipeline/result_p15_fp/crops/195_plate0.jpg,232,182,130,125,301,261
