image,gt_text,width,height,detection_count,plate_count,plate_texts,best_plate_text,best_lpr_score,best_det_score,yolo_pre_ms,yolo_infer_ms,yolo_post_ms,lpr_total_ms,total_ms,vis_path
fenqusai/test_photo/000000044.jpg,,128,48,0,0,,,,,55.46368900104426,83.29057399896556,4.647362002287991,0.0,192.81696699908935,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000044_vis.jpg
fenqusai/test_photo/000000079.jpg,,128,48,0,0,,,,,4.976067997631617,44.89427000225987,1.149154002632713,0.0,54.01020600038464,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000079_vis.jpg
fenqusai/test_photo/000000082.jpg,,128,48,0,0,,,,,3.3214610011782497,43.26416299954872,0.9181559980788734,0.0,50.73074300162261,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000082_vis.jpg
fenqusai/test_photo/000000093.jpg,,128,48,0,0,,,,,3.3722110019880347,46.011923001060495,1.121737001085421,0.0,53.785041000082856,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000093_vis.jpg
fenqusai/test_photo/000000103.jpg,,128,48,0,0,,,,,3.71083199934219,42.90366799978074,0.984362999588484,0.0,50.77332600194495,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000103_vis.jpg
fenqusai/test_photo/000000109.jpg,,128,48,1,1,鄂H02143D,鄂H02143D,0.9952084596363515,0.723665714263916,3.1864219999988563,41.06064699954004,9.020270001201425,396.223101997748,539.944682001078,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000109_vis.jpg
fenqusai/test_photo/000000110.jpg,,128,48,1,1,晋R40096F,晋R40096F,0.999708338008933,0.5963878631591797,5.415021001681453,67.05984500149498,3.8648299996566493,377.5213609987986,474.6026909997454,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000110_vis.jpg
fenqusai/test_photo/000000122.jpg,,128,48,0,0,,,,,6.0476380022009835,61.32053699911921,1.296151996939443,0.0,72.68636400112882,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000122_vis.jpg
fenqusai/test_photo/000000125.jpg,,128,48,1,1,皖E98075D,皖E98075D,0.9900653601159769,0.26182880997657776,3.3646270021563396,46.00346599909244,6.093136998970294,383.3336269999563,459.53474099951563,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000125_vis.jpg
fenqusai/test_photo/000000126.jpg,,128,48,1,1,桂NFS061,桂NFS061,0.9981736849970567,0.6763911247253418,5.008734002331039,60.77804400047171,2.9262579992064275,388.41790199876414,476.80129099899204,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000126_vis.jpg
fenqusai/test_photo/000000178.jpg,,128,48,0,0,,,,,5.094775002362439,76.68394199936301,1.285359998291824,0.0,87.00882099947194,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000178_vis.jpg
fenqusai/test_photo/000000200.jpg,,128,48,1,1,黑ATFNU0,黑ATFNU0,0.9735169874703018,0.7054831981658936,5.096814998978516,58.26278099993942,4.0471200009051245,397.1418420005648,483.1342180004867,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000200_vis.jpg
fenqusai/test_photo/000000206.jpg,,128,48,1,1,晋ME8U5R,晋ME8U5R,0.925907138654607,0.4072892665863037,4.87077700017835,57.52066499917419,2.8291339986026287,386.9639600015944,468.089226000302,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000206_vis.jpg
fenqusai/test_photo/000000219.jpg,,128,48,1,0,,,,,4.984524999599671,59.70113900184515,4.703361999418121,0.0,95.19189300044673,fenqusai/tools/pipeline/result_p5_fp_preserve_raw/000000219_vis.jpg
